Question,People Promise / Theme,Sub,Further Sub,Notes
The people I work with show appreciation to one another,We are recognised and rewarded,Valued,Non clinical vs clinical,"Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role. Look for cues such as “corporate staff are ignored”, “clinical staff get all the praise”, or “non?clinical roles are invisible”. Avoid assumptions — only apply when staff group is stated or strongly implied. This distinction is based on patterns in staff experience, not an official People Promise structure."
The recognition I get for good work,We are recognised and rewarded,Valued,Non clinical vs clinical,"Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role. Look for cues such as “corporate staff are ignored”, “clinical staff get all the praise”, or “non?clinical roles are invisible”. Avoid assumptions — only apply when staff group is stated or strongly implied. This distinction is based on patterns in staff experience, not an official People Promise structure."
My immediate manager values my work,We are recognised and rewarded,Valued,Other,"Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group. Look for cues about recognition, appreciation, or feeling overlooked. Distinguish from “Compassionate Leadership” (manager behaviour) and “Team Working” (peer relationships). This is the default category for free?text unless the comment clearly indicates acute/non?acute or clinical/non?clinical distinctions."
The extent to whch organisation values my work,We are recognised and rewarded,Valued,Other,"Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group. Look for cues about recognition, appreciation, or feeling overlooked. Distinguish from “Compassionate Leadership” (manager behaviour) and “Team Working” (peer relationships). This is the default category for free?text unless the comment clearly indicates acute/non?acute or clinical/non?clinical distinctions."
The people I work with show appreciation to one another,We are recognised and rewarded,Valued,Other,"Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group. Look for cues about recognition, appreciation, or feeling overlooked. Distinguish from “Compassionate Leadership” (manager behaviour) and “Team Working” (peer relationships). This is the default category for free?text unless the comment clearly indicates acute/non?acute or clinical/non?clinical distinctions."
The recognition I get for good work,We are recognised and rewarded,Valued,Other,"Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group. Look for cues about recognition, appreciation, or feeling overlooked. Distinguish from “Compassionate Leadership” (manager behaviour) and “Team Working” (peer relationships). This is the default category for free?text unless the comment clearly indicates acute/non?acute or clinical/non?clinical distinctions."
I always know what my work responsibilities are,We each have a voice that counts,Autonomy and control,,"Use this anchor when comments refer to clarity of role, expectations, or confusion about responsibilities. Look for cues about unclear boundaries, mixed messages, or lack of direction. Distinguish from “Line Management” (manager behaviour)."
I am trusted to do my job,We each have a voice that counts,Autonomy and control,,"Use this when comments refer to autonomy, micromanagement, or feeling undermined. Look for cues about trust, independence, or unnecessary oversight. Distinguish from “Compassionate Leadership” (empathy) and “Team Working” (peer dynamics)."
There are frequent opportunities for me to show initiative in my role,We each have a voice that counts,Autonomy and control,,"Use this anchor when comments refer to innovation, creativity, or being blocked from taking initiative. Look for cues about bureaucracy, rigid processes, or lack of empowerment. Distinguish from “Development” (career growth)."
I am able to make suggestions to improve the work of my team / department,We each have a voice that counts,Autonomy and control,,"Use this when comments refer to ideas being ignored, suggestions not acted on, or barriers to improvement. Look for cues about influence, voice, or organisational openness. Distinguish from “Raising Concerns” (safety or wrongdoing) and “Team Working” (collaboration)."
I am involved in deciding on changes introduced that affect my work area / team / department,We each have a voice that counts,Autonomy and control,,"Use this anchor when comments refer to consultation, involvement in change, or decisions being imposed. Look for cues about top?down change, lack of communication, or feeling excluded. Distinguish from “Senior Management” (strategic decisions) and “Line Management” (local decisions)."
I am able to make improvements happen in my area of work,We each have a voice that counts,Autonomy and control,,"Use this when comments refer to empowerment, barriers to change, or lack of authority to act. Look for cues about process constraints, permissions, or organisational blockers. Distinguish from “Resources” (lack of tools) and “Workload” (time pressure)."
I have a choice in deciding how to do my work,We each have a voice that counts,Autonomy and control,,"Use this anchor when comments refer to flexibility, autonomy, or rigid processes. Look for cues about being told exactly how to work, lack of discretion, or overly prescriptive procedures. Distinguish from “Flexible Working” (work?life balance)"
I am confident that my organisation would address my concern,We each have a voice that counts,Raising concerns,Acting on concerns / accountability,"Use this anchor when comments refer to organisational follow?through, accountability, or concerns being ignored. Look for cues about distrust, previous negative experiences, or feeling that raising issues is pointless. Distinguish from “Line Management” (local behaviour) unless the comment explicitly refers to organisational processes. Typically routes to People & OD, Governance, or Freedom to Speak Up. Use this when the underlying meaning is about organisational reliability rather than personal safety."
If I spoke up about something that concernd me I am confident my organisation would address my concern,We each have a voice that counts,Raising concerns,Acting on concerns / accountability,"Use this anchor when comments refer to organisational follow?through, accountability, or concerns being ignored. Look for cues about distrust, previous negative experiences, or feeling that raising issues is pointless. Distinguish from “Line Management” (local behaviour) unless the comment explicitly refers to organisational processes. Typically routes to People & OD, Governance, or Freedom to Speak Up. Use this when the underlying meaning is about organisational reliability rather than personal safety."
I would feel secure raising concerns about unsafe clinical practice,We each have a voice that counts,Raising concerns,Safe to speak out,"Use this anchor when comments refer to psychological safety, fear of repercussions, or reluctance to speak up. Look for emotional cues such as anxiety, intimidation, or fear of blame. Distinguish from “Autonomy & Control” (influence over work) and “Health & Safety Climate” (physical safety). This theme often overlaps with culture, leadership, and bullying — prioritise this sub?theme when the core issue is fear of speaking up. Typically routes to Freedom to Speak Up or senior leadership."
I feel safe to speak up about anything that concerns me in this organisation,We each have a voice that counts,Raising concerns,Safe to speak out,"Use this anchor when comments refer to psychological safety, fear of repercussions, or reluctance to speak up. Look for emotional cues such as anxiety, intimidation, or fear of blame. Distinguish from “Autonomy & Control” (influence over work) and “Health & Safety Climate” (physical safety). This theme often overlaps with culture, leadership, and bullying — prioritise this sub?theme when the core issue is fear of speaking up. Typically routes to Freedom to Speak Up or senior leadership."
I would feel secure raising concerns about unsafe clinical practice,We each have a voice that counts,Raising concerns,Other,"Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through. Look for cues about uncertainty, mixed experiences, or general dissatisfaction with reporting processes. Use this when the comment is about concerns in general rather than safety or accountability. Distinguish from “Abuse/Bullying” unless the comment explicitly links the issue to speaking up."
I am confident that my organisation would address my concern,We each have a voice that counts,Raising concerns,Other,"Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through. Look for cues about uncertainty, mixed experiences, or general dissatisfaction with reporting processes. Use this when the comment is about concerns in general rather than safety or accountability. Distinguish from “Abuse/Bullying” unless the comment explicitly links the issue to speaking up."
I feel safe to speak up about anything that concerns me in this organisation,We each have a voice that counts,Raising concerns,Other,"Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through. Look for cues about uncertainty, mixed experiences, or general dissatisfaction with reporting processes. Use this when the comment is about concerns in general rather than safety or accountability. Distinguish from “Abuse/Bullying” unless the comment explicitly links the issue to speaking up."
If I spoke up about something that concernd me I am confident my organisation would address my concern,We each have a voice that counts,Raising concerns,Other,"Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through. Look for cues about uncertainty, mixed experiences, or general dissatisfaction with reporting processes. Use this when the comment is about concerns in general rather than safety or accountability. Distinguish from “Abuse/Bullying” unless the comment explicitly links the issue to speaking up."
My organisation takes positive action on health and wellbeing,We are safe and healthy,Health and safety climate,Health and Wellbeing,"Use this anchor when comments refer to organisational wellbeing support, initiatives, or lack of action. Look for cues about stress support, wellbeing resources, or feeling unsupported. Distinguish from “Burnout” (emotional exhaustion) and “Illness” (health impacts)."
There are enough staff at this organisation for me to do my job properly,We are safe and healthy,Health and safety climate,Staffing Levels,"Use this anchor when comments refer to staffing shortages, unsafe staffing, vacancies, reliance on agency staff, or pressure caused by insufficient numbers. Look for cues about workload, patient safety, or team strain. Distinguish from “Workload” (task pressure) unless the comment explicitly links workload to staffing levels. Typically routes to Workforce Planning or Operational Leadership."
I am able to meet all the conflicting demands on my time at work,We are safe and healthy,Health and safety climate,Workload,"Use this when comments refer to competing priorities, time pressure, or unmanageable workloads. Look for cues about juggling tasks, unrealistic expectations, or constant firefighting. Distinguish from “Stressors” under Morale (emotional impact) and “Staffing Levels” (structural shortages)."
I have unrealistic time pressures,We are safe and healthy,Health and safety climate,Workload,"Use this anchor when comments refer to deadlines, pace of work, or pressure to complete tasks too quickly. Look for cues about rushing, burnout risk, or feeling overwhelmed. Distinguish from “Staffing Levels” unless the comment explicitly links pressure to low staffing."
I am able to meet all the conflicting demands on my time at work,We are safe and healthy,Health and safety climate,Other,"Use this when comments refer to competing priorities, time pressure, or unmanageable workloads. Look for cues about juggling tasks, unrealistic expectations, or constant firefighting. Distinguish from “Stressors” under Morale (emotional impact) and “Staffing Levels” (structural shortages)."
"I have adequate materials, supplies and equipment to do my work",We are safe and healthy,Health and safety climate,Other,"Use this when comments refer to equipment shortages, broken tools, lack of supplies, or poor infrastructure. Look for cues about delays, inefficiency, or safety risks. Distinguish from “Staffing Levels” and “Workload” unless the comment explicitly connects them."
There are enough staff at this organisation for me to do my job properly,We are safe and healthy,Health and safety climate,Other,"Use this anchor when comments refer to staffing shortages, unsafe staffing, vacancies, reliance on agency staff, or pressure caused by insufficient numbers. Look for cues about workload, patient safety, or team strain. Distinguish from “Workload” (task pressure) unless the comment explicitly links workload to staffing levels. Typically routes to Workforce Planning or Operational Leadership."
I have unrealistic time pressures,We are safe and healthy,Health and safety climate,Other,"Use this anchor when comments refer to deadlines, pace of work, or pressure to complete tasks too quickly. Look for cues about rushing, burnout risk, or feeling overwhelmed. Distinguish from “Staffing Levels” unless the comment explicitly links pressure to low staffing."
My organisation takes positive action on health and wellbeing,We are safe and healthy,Health and safety climate,Other,"Use this anchor when comments refer to organisational wellbeing support, initiatives, or lack of action. Look for cues about stress support, wellbeing resources, or feeling unsupported. Distinguish from “Burnout” (emotional exhaustion) and “Illness” (health impacts)."
"The last time you experienced physical violence at work, did you or a colleague report it",We are safe and healthy,Health and safety climate,Other,"Use this anchor when comments refer to reporting processes, incident handling, or barriers to reporting violence. Look for cues about fear, futility, or lack of follow?up. Distinguish from “Abuse/Bullying” (the experience itself) and “Raising Concerns” (psychological safety)."
"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it",We are safe and healthy,Health and safety climate,Other,"Use this when comments refer to reporting harassment or bullying. Look for cues about confidence in reporting systems, fear of retaliation, or lack of action. Distinguish from “Abuse/Bullying” (the behaviour) and “Safe to Speak Out” (fear of raising issues)."
"How often, if at all, do you find your work emotionally exhausting?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you feel burnt out because of your work?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, does your work frustrate you?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, are you exhausted at the thought of another day/shift at work?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you feel worn out at the end of your working day/shift?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you feel that every working hour is tiring for you?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you not have enough energy for family and friends during leisure time?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
I can eat nutritious and affordable food while I am working ,We are safe and healthy,Other,,"Use this anchor when comments refer to food availability, affordability, or access during shifts. Look for cues about canteen hours, cost, or lack of healthy options. Distinguish from “Cost of Living” unless the comment explicitly links food affordability to pay."
Have you experienced musculoskeletal problems (MSK) as a result of work activities?,We are safe and healthy,Negative experiences,Illness,"Use this anchor when comments refer to musculoskeletal pain, injury, or physical strain caused by work. Look for cues about manual handling, equipment, or repetitive strain. Distinguish from “Resources” unless equipment is the cause."
During the last 12 months have you felt unwell as a result of work related stress?,We are safe and healthy,Negative experiences,Illness,"Use this when comments refer to stress causing physical symptoms. Look for cues about headaches, sleep issues, or stress?related illness. Distinguish from “Burnout” unless the comment emphasises emotional exhaustion."
In the last three months have you ever come to work despite not feeling well enough to perform your duties?,We are safe and healthy,Negative experiences,Illness,"Use this anchor when comments refer to presenteeism, pressure to attend work, or guilt about sickness absence. Look for cues about culture, workload, or fear of repercussions. Distinguish from “Burnout” unless emotional exhaustion is the focus."
"Have you personally experienced physical violence at work from...? Patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you personally experienced physical violence at work from...? Managers,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you personally experienced physical violence at work from...? Other colleagues.,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Managers.",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Other colleagues.",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you been the target of unwanted behaviour of a sexual nature in the workplace? From patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you been the target of unwanted behaviour of a sexual nature in the workplace? From staff / colleagues,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review?",We are always learning,Appraisals,,"Use this anchor when comments refer to whether appraisals happened, were missed, or were inconsistent. Look for cues about cancelled reviews, lack of follow?up, or not receiving a review at all. Distinguish from “Development” (opportunities) and “Line Management” (manager behaviour during the review)."
It helped me to improve how I do my job,We are always learning,Appraisals,,"Use this when comments refer to appraisals being useful, practical, or supportive of performance. Look for cues about feedback quality, clarity, or actionable guidance. Distinguish from “Valued” unless the comment explicitly links feeling valued to the appraisal."
It helped me agree clear objectives for my work,We are always learning,Appraisals,,"Use this anchor when comments refer to goal?setting, clarity of expectations, or lack of clear objectives. Look for cues about direction, alignment, or confusion about priorities. Distinguish from “Autonomy & Control” (decision?making) unless the comment explicitly links objectives to autonomy."
It left me feeling that my work is valued by my organisation,We are always learning,Appraisals,,"Use this anchor when comments refer to feeling valued as a result of the appraisal process. Look for cues about recognition, appreciation, or positive feedback. Distinguish from “Valued” under Recognised & Rewarded unless the comment explicitly ties the feeling to the appraisal experience. This anchor is useful when staff describe appraisals as affirming or demotivating."
This organisation offers me challenging work,We are always learning,Development,,"Use this anchor when comments refer to stretch opportunities, meaningful tasks, or lack of challenge. Look for cues about stagnation, boredom, or wanting more responsibility. Distinguish from “Workload” unless the comment explicitly links challenge to pressure."
There are opportunities for me to develop my career in this organisation,We are always learning,Development,,"Use this when comments refer to career progression, blocked pathways, or lack of opportunities. Look for cues about stagnation, limited roles, or unclear progression routes. Distinguish from “Diversity & Equality” unless the comment explicitly links progression barriers to discrimination. Typically routes to OD or Workforce Planning."
I have opportunities to improve me knowledge and skills,We are always learning,Development,,"Use this anchor when comments refer to training availability, skill development, or lack of learning opportunities. Look for cues about access, relevance, or outdated training. Distinguish from “Appraisals” unless the comment explicitly links development to the appraisal process."
I feel supported to develop my potential,We are always learning,Development,,"Use this when comments refer to encouragement, support, or barriers to personal growth. Look for cues about manager support, organisational investment, or feeling overlooked. Distinguish from “Valued” unless the comment explicitly links development to recognition."
I am able to access the right learning and development opportunities when I need to,We are always learning,Development,,"Use this anchor when comments refer to access issues, timing, availability, or barriers to training. Look for cues about workload preventing attendance, lack of funding, or training being oversubscribed. Distinguish from “Workload” unless the comment explicitly links workload to inability to attend training."
I am able to access clinical supervision opportunities when I need to,We are always learning,Development,,"Use this when comments refer to clinical supervision availability, quality, or frequency. Look for cues about reflective practice, professional support, or lack of protected time. Distinguish from “Line Management” unless the comment explicitly links supervision to managerial behaviour."
The opportunities for flexible working patterns,We work flexible,Flexible working,,"Use this anchor when comments refer to availability, fairness, or inconsistency of flexible working options. Look for cues about shift patterns, remote working, compressed hours, or requests being declined. Distinguish from “Support for Work?Life Balance” unless the comment explicitly links flexibility to personal life pressures. Use this when the focus is on the options themselves, not the impact."
