Official Theme / Element,Primary Sub-Score Axis,Secondary Sub-Score Axis,Question,Specific Free-Text Target Cues,Specific Free-Text Target Description
We are compassionate and inclusive,Inclusion,,The people I work with are understanding and kind to one another,kindness; empathy; supportive colleagues; considerate behaviour,"Use this anchor when comments refer to respect, kindness, or civility. Look for cues about tone, interpersonal behaviour, or team climate."
We are recognised and rewarded,Pay,Agenda for change / banding,My level of pay,banding; Agenda for Change; pay structure; mismatch between responsibilities and band,"Use this anchor when comments refer to banding, Agenda for Change, or pay structure. Look for cues about fairness, progression, or mismatch between responsibilities and band."
We are recognised and rewarded,Pay,Cost of living,My level of pay,affordability; inflation; rising costs; financial stress; struggling financially,"Use this when comments refer to affordability, inflation, rising costs, or struggling financially."
We are recognised and rewarded,Pay,Other,My level of pay,general pay dissatisfaction; pay concerns; salary issues,"Use this when comments refer to pay but do not specify banding, cost of living, or overtime."
We are recognised and rewarded,Pay,Overtime / unpaid,My level of pay,unpaid overtime; staying late; uncompensated hours; fairness concerns,"Use this anchor when comments mention unpaid overtime, staying late, or not being compensated for additional hours."
We are recognised and rewarded,Valued,Non acute vs acute,The extent to whch organisation values my work,acute vs non-acute disparity; wards prioritised; community forgotten; visibility of work,Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued.
We are recognised and rewarded,Valued,Non acute vs acute,The people I work with show appreciation to one another,acute vs non-acute appreciation; team recognition differences,Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued.
We are recognised and rewarded,Valued,Non acute vs acute,The recognition I get for good work,acute vs non-acute recognition; organisational prioritisation; resource allocation,Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued.
We are recognised and rewarded,Valued,Non clinical vs clinical,The extent to whch organisation values my work,non-clinical undervalued; clinical praised; corporate invisible; staff group disparity,Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role.
We are recognised and rewarded,Valued,Non clinical vs clinical,The people I work with show appreciation to one another,clinical vs non-clinical appreciation; recognition imbalance,Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role.
We are recognised and rewarded,Valued,Non clinical vs clinical,The recognition I get for good work,clinical vs non-clinical recognition; visibility differences,Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role.
We are recognised and rewarded,Valued,Other,My immediate manager values my work,feeling valued; recognition; appreciation; overlooked by manager,Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group.
We are recognised and rewarded,Valued,Other,The extent to whch organisation values my work,organisational recognition; appreciation; undervalued; overlooked,Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group.
We are recognised and rewarded,Valued,Other,The people I work with show appreciation to one another,peer appreciation; recognition; supportive colleagues,Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group.
We are recognised and rewarded,Valued,Other,The recognition I get for good work,recognition; appreciation; feeling overlooked; praise,Use this anchor when comments refer to feeling valued or undervalued but do not specify setting or staff group.
We each have a voice that counts,Autonomy and control,,I always know what my work responsibilities are,role clarity; clear expectations; defined responsibilities; confusion about role boundaries,"Use this anchor when comments refer to clarity of role, expectations, or confusion about responsibilities. Look for cues about unclear boundaries, mixed messages, or lack of direction."
We each have a voice that counts,Autonomy and control,,I am trusted to do my job,autonomy; trust; micromanagement; independence; undermined; unnecessary oversight,"Use this when comments refer to autonomy, micromanagement, or feeling undermined. Look for cues about trust, independence, or unnecessary oversight."
We each have a voice that counts,Autonomy and control,,There are frequent opportunities for me to show initiative in my role,initiative; innovation; creativity; blocked ideas; bureaucracy; rigid processes,"Use this anchor when comments refer to innovation, creativity, or being blocked from taking initiative."
We each have a voice that counts,Autonomy and control,,I am able to make suggestions to improve the work of my team / department,suggestions ignored; ideas not acted on; barriers to improvement; lack of influence,"Use this when comments refer to ideas being ignored, suggestions not acted on, or barriers to improvement."
We each have a voice that counts,Autonomy and control,,I am involved in deciding on changes introduced that affect my work area / team / department,consultation; involvement in change; imposed decisions; excluded from decisions; top-down change,"Use this anchor when comments refer to consultation, involvement in change, or decisions being imposed."
We each have a voice that counts,Autonomy and control,,I am able to make improvements happen in my area of work,empowerment; authority to act; barriers to change; organisational blockers,"Use this when comments refer to empowerment, barriers to change, or lack of authority to act."
We each have a voice that counts,Autonomy and control,,I have a choice in deciding how to do my work,flexibility; autonomy; rigid processes; prescriptive procedures,"Use this anchor when comments refer to flexibility, autonomy, or rigid processes."
We each have a voice that counts,Raising concerns,Acting on concerns / accountability,I am confident that my organisation would address my concern,organisational follow-through; accountability; concerns ignored; distrust; previous negative experiences,"Use this anchor when comments refer to organisational follow?through, accountability, or concerns being ignored."
We each have a voice that counts,Raising concerns,Acting on concerns / accountability,If I spoke up about something that concernd me I am confident my organisation would address my concern,concerns acted on; organisational reliability; issues addressed; distrust in processes,"Use this anchor when comments refer to organisational follow?through, accountability, or concerns being ignored."
We each have a voice that counts,Raising concerns,Safe to speak out,I would feel secure raising concerns about unsafe clinical practice,psychological safety; fear of repercussions; intimidation; fear of blame; reluctance to speak up,"Use this anchor when comments refer to psychological safety, fear of repercussions, or reluctance to speak up."
We each have a voice that counts,Raising concerns,Safe to speak out,I feel safe to speak up about anything that concerns me in this organisation,safe to speak; no fear; supportive culture; freedom to raise issues,"Use this anchor when comments refer to psychological safety, fear of repercussions, or reluctance to speak up."
We each have a voice that counts,Raising concerns,Other,I would feel secure raising concerns about unsafe clinical practice,general concerns; mixed experiences; uncertainty about reporting; dissatisfaction with processes,Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through.
We each have a voice that counts,Raising concerns,Other,I am confident that my organisation would address my concern,general concerns; mixed experiences; uncertainty; inconsistent follow-up,Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through.
We each have a voice that counts,Raising concerns,Other,I feel safe to speak up about anything that concerns me in this organisation,general concerns; uncertainty; mixed experiences; unclear reporting processes,Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through.
We each have a voice that counts,Raising concerns,Other,If I spoke up about something that concernd me I am confident my organisation would address my concern,general concerns; uncertainty; mixed experiences; dissatisfaction with reporting,Use this anchor when comments refer to raising concerns but do not clearly relate to psychological safety or organisational follow?through.
We are safe and healthy,Health and safety climate,Health and Wellbeing,My organisation takes positive action on health and wellbeing,wellbeing support; wellbeing initiatives; stress support; wellbeing resources; feeling unsupported,"Use this anchor when comments refer to organisational wellbeing support, initiatives, or lack of action. Look for cues about stress support, wellbeing resources, or feeling unsupported."
We are safe and healthy,Health and safety climate,Staffing Levels,There are enough staff at this organisation for me to do my job properly,staffing shortages; unsafe staffing; vacancies; agency reliance; team strain; workload linked to staffing,"Use this anchor when comments refer to staffing shortages, unsafe staffing, vacancies, reliance on agency staff, or pressure caused by insufficient numbers."
We are safe and healthy,Health and safety climate,Workload,I am able to meet all the conflicting demands on my time at work,conflicting demands; time pressure; unmanageable workload; juggling tasks; unrealistic expectations,"Use this when comments refer to competing priorities, time pressure, or unmanageable workloads."
We are safe and healthy,Health and safety climate,Workload,I have unrealistic time pressures,deadlines; pace of work; pressure to complete tasks quickly; rushing; overwhelmed,"Use this anchor when comments refer to deadlines, pace of work, or pressure to complete tasks too quickly."
We are safe and healthy,Health and safety climate,Other,I am able to meet all the conflicting demands on my time at work,conflicting demands; time pressure; unmanageable workload,"Use this when comments refer to competing priorities, time pressure, or unmanageable workloads."
We are safe and healthy,Health and safety climate,Other,"I have adequate materials, supplies and equipment to do my work",equipment shortages; broken tools; lack of supplies; poor infrastructure; delays; inefficiency,"Use this when comments refer to equipment shortages, broken tools, lack of supplies, or poor infrastructure."
We are safe and healthy,Health and safety climate,Other,There are enough staff at this organisation for me to do my job properly,staffing shortages; unsafe staffing; vacancies; agency reliance,"Use this anchor when comments refer to staffing shortages, unsafe staffing, vacancies, reliance on agency staff, or pressure caused by insufficient numbers."
We are safe and healthy,Health and safety climate,Other,I have unrealistic time pressures,deadlines; pace of work; pressure to complete tasks quickly,"Use this anchor when comments refer to deadlines, pace of work, or pressure to complete tasks too quickly."
We are safe and healthy,Health and safety climate,Other,My organisation takes positive action on health and wellbeing,wellbeing support; wellbeing initiatives; stress support,"Use this anchor when comments refer to organisational wellbeing support, initiatives, or lack of action."
We are safe and healthy,Health and safety climate,Other,"The last time you experienced physical violence at work, did you or a colleague report it",reporting violence; incident reporting; barriers to reporting; fear; lack of follow-up,"Use this anchor when comments refer to reporting processes, incident handling, or barriers to reporting violence."
We are safe and healthy,Health and safety climate,Other,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it",reporting harassment; reporting bullying; fear of retaliation; lack of action,Use this when comments refer to reporting harassment or bullying.
We are safe and healthy,Burnout,,"How often, if at all, do you find your work emotionally exhausting?",emotional exhaustion; burnout; frustration; depletion; chronic fatigue,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, do you feel burnt out because of your work?",burnout; emotional strain; drained; overwhelmed,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, does your work frustrate you?",frustration; emotional strain; burnout indicators,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, are you exhausted at the thought of another day/shift at work?",dread; exhaustion; emotional fatigue; burnout,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, do you feel worn out at the end of your working day/shift?",worn out; fatigue; emotional depletion,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, do you feel that every working hour is tiring for you?",constant tiredness; emotional strain; burnout,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Burnout,,"How often, if at all, do you not have enough energy for family and friends during leisure time?",no energy; emotional exhaustion; burnout spillover,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion."
We are safe and healthy,Other,,I can eat nutritious and affordable food while I am working ,food availability; nutritious food; affordable food; access to food,Use this anchor when comments refer to food availability at work.
We are safe and healthy,Negative experiences,Illness,Have you experienced musculoskeletal problems (MSK) as a result of work activities?,MSK problems; physical strain; work-related injury,Use this anchor when comments refer to illness or health impacts.
We are safe and healthy,Negative experiences,Illness,During the last 12 months have you felt unwell as a result of work related stress?,work-related stress; feeling unwell; stress impacts,Use this anchor when comments refer to illness or health impacts.
We are safe and healthy,Negative experiences,Illness,In the last three months have you ever come to work despite not feeling well enough to perform your duties?,presenteeism; working while unwell; health impacts,Use this anchor when comments refer to illness or health impacts.
We are safe and healthy,Negative experiences,Abuse / Bullying,"Have you personally experienced physical violence at work from...? Patients / service users, their relatives or other members of the public",violence from patients; aggression; physical harm,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,Have you personally experienced physical violence at work from...? Managers,violence from managers; aggression; physical harm,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,Have you personally experienced physical violence at work from...? Other colleagues.,violence from colleagues; aggression; physical harm,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,"Have you personally experienced harassment, bullying or abuse at work from...? Patients / service users, their relatives or other members of the public",harassment; bullying; abuse; aggression from patients,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,"Have you personally experienced harassment, bullying or abuse at work from...? Managers.",harassment; bullying; abuse from managers,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,"Have you personally experienced harassment, bullying or abuse at work from...? Other colleagues.",harassment; bullying; abuse from colleagues,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,"Have you been the target of unwanted behaviour of a sexual nature in the workplace? From patients / service users, their relatives or other members of the public",sexual harassment; unwanted sexual behaviour; inappropriate conduct,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are safe and healthy,Negative experiences,Abuse / Bullying,Have you been the target of unwanted behaviour of a sexual nature in the workplace? From staff / colleagues,sexual harassment from staff; inappropriate behaviour,"Use this anchor when comments refer to harassment, bullying, or abuse."
We are always learning,Appraisals,,"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review?",appraisal completed; review completed; annual review; development review,Use this anchor when comments refer to appraisal completion or review processes.
We are always learning,Appraisals,,It helped me to improve how I do my job,improved performance; job improvement; helpful appraisal; constructive feedback,Use this anchor when comments refer to appraisal usefulness or job improvement.
We are always learning,Appraisals,,It helped me agree clear objectives for my work,clear objectives; goal setting; clarity from appraisal,Use this anchor when comments refer to agreeing clear objectives.
We are always learning,Appraisals,,It left me feeling that my work is valued by my organisation,feeling valued; recognition; appreciation from organisation,Use this anchor when comments refer to feeling valued following appraisal.
We are always learning,Development,,This organisation offers me challenging work,challenging work; stretch opportunities; stimulating tasks,Use this anchor when comments refer to challenging or stimulating work.
We are always learning,Development,,There are opportunities for me to develop my career in this organisation,career development; progression opportunities; development pathways,Use this anchor when comments refer to career development opportunities.
We are always learning,Development,,I have opportunities to improve me knowledge and skills,learning opportunities; skill development; training access,Use this anchor when comments refer to opportunities to improve knowledge and skills.
We are always learning,Development,,I feel supported to develop my potential,supported development; encouragement; potential growth,Use this anchor when comments refer to support for developing potential.
We are always learning,Development,,I am able to access the right learning and development opportunities when I need to,access to learning; training availability; development access,Use this anchor when comments refer to accessing learning and development opportunities.
We are always learning,Development,,I am able to access clinical supervision opportunities when I need to,clinical supervision; supervision access; reflective practice,Use this anchor when comments refer to accessing clinical supervision.
We work flexibly,Flexible working,,The opportunities for flexible working patterns,flexible working; flexible patterns; flexible shifts; work pattern flexibility,Use this anchor when comments refer to flexible working patterns.
We work flexibly,Support for work-life balance,,My organisation is committed to helping me balance my work and home life,work-life balance; organisational support; balancing work and home,Use this anchor when comments refer to organisational commitment to work-life balance.
We work flexibly,Support for work-life balance,,I achieve a good balance between m work life and my home life,work-life balance achieved; healthy balance; manageable balance,Use this anchor when comments refer to achieving work-life balance.
We work flexibly,Support for work-life balance,,I can approach my immediate manager to talk openly about flexible working,manager openness; flexible working discussions; supportive manager,Use this anchor when comments refer to approaching managers openly about flexible working.
We are a team,Team working,Team development,Teams within this organisation work well together to achieve their objectives,shared objectives; team goals; common purpose,Use this anchor when comments refer to shared objectives or team goals.
We are a team,Team working,Team development,The team I work in has a set of shared objectives,team meetings; effectiveness discussions; team reflection,Use this anchor when comments refer to team meetings or discussing effectiveness.
We are a team,Team working,Team development,The team I work in often meets to discuss the team's effectiveness,inter-team collaboration; cross-team working; organisational teamwork,Use this anchor when comments refer to teams working well together.
We are a team,Team working,Working relationships,I receive the respect I deserve from colleagues at work,respect; civility; valued by colleagues,Use this anchor when comments refer to receiving respect from colleagues.
We are a team,Team working,Working relationships,Team members understand each other's roles,role understanding; clarity of roles; team awareness,Use this anchor when comments refer to understanding each other's roles.
We are a team,Team working,Working relationships,I enjoy working with the colleagues in my team,enjoy working with team; positive relationships; team satisfaction,Use this anchor when comments refer to enjoying working with colleagues.
We are a team,Team working,Working relationships,My team has enough freedom in how to do its work,team autonomy; freedom; flexibility in team work,Use this anchor when comments refer to team freedom or autonomy.
We are a team,Team working,Working relationships,In my team disagreements are dealth with constructively,constructive conflict; healthy disagreement; conflict resolution,Use this anchor when comments refer to constructive handling of disagreements.
We are a team,Line management,,My immediate manager gives me clear feedback on my work,clear feedback; constructive feedback; manager communication,Use this anchor when comments refer to clear feedback from managers.
We are a team,Line management,,My immediate manager asks for my opinion before making decisions that affect my work,consultation; involvement; manager seeks input,Use this anchor when comments refer to managers asking for opinions before decisions.
We are a team,Line management,,My immediate manager takes a positive interest in my health and wellbeing,manager wellbeing support; interest in wellbeing; supportive manager,Use this anchor when comments refer to managers taking interest in health and wellbeing.
Staff engagement,Motivation,,I look forward to going to work,motivation; enthusiasm; positive anticipation; enjoyment of work,Use this anchor when comments refer to motivation or enthusiasm for work.
Staff engagement,Motivation,,I am enthusiastic about my job,enthusiasm; passion; positive energy; job satisfaction,Use this anchor when comments refer to enthusiasm about the job.
Staff engagement,Motivation,,Time passes quickly when I am working,flow; engagement; absorbed in work; positive focus,Use this anchor when comments refer to being engaged or absorbed in work.
Staff engagement,Involvement,,There are frequent opportunities for me to show initiative in my role,initiative; innovation; creativity; opportunities to contribute,Use this anchor when comments refer to opportunities to show initiative.
Staff engagement,Involvement,,I am able to make suggestions to improve the work of my team / department,suggestions; improvement ideas; voice; influence,Use this anchor when comments refer to making suggestions or contributing ideas.
Staff engagement,Involvement,,I am able to make improvements happen in my area of work,empowerment; ability to act; making improvements; autonomy,Use this anchor when comments refer to being able to make improvements happen.
Staff engagement,Advocacy,,Care of patients / service users is my organisation's top priority,patient care; care quality; organisational values; compassion,"Use this anchor when comments refer to organisational values, patient focus, or concerns that priorities have shifted away from care quality."
Staff engagement,Advocacy,,I would recommend my organisation as a place to work,organisational reputation; pride; willingness to recommend,"Use this anchor when comments refer to organisational reputation, pride, or willingness to recommend."
Staff engagement,Advocacy,,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation,care quality; safety; trust in services; patient experience,"Use this anchor when comments refer to care quality, safety, or trust in services."
Morale,Thinking about leaving,,I often think about leaving this organisation,thinking of leaving; dissatisfaction; turnover intention,Use this anchor when comments refer to thoughts of leaving the organisation.
Morale,Thinking about leaving,,I will probably look for a job at a new organisation in the next 12 months,job seeking; planning to leave; turnover intention,Use this anchor when comments refer to planning to leave the organisation.
Morale,Thinking about leaving,,"As soon as I can find another job, I will leave this organisation",actively wanting to leave; dissatisfaction; turnover intention,Use this anchor when comments refer to wanting to leave as soon as possible.
Morale,Work pressure,Workload,I am able to meet all the conflicting demands on my time at work,conflicting demands; time pressure; unmanageable workload,Use this anchor when comments refer to workload pressure.
Morale,Work pressure,Resources,"I have adequate materials, supplies and equipment to do my work",equipment shortages; lack of supplies; poor infrastructure,Use this anchor when comments refer to resource constraints.
Morale,Work pressure,Staffing Levels,There are enough staff at this organisation for me to do my job properly,staffing shortages; unsafe staffing; vacancies,Use this anchor when comments refer to staffing levels.
Morale,Stressors,,I always know what my work responsibilities are,role clarity; clear expectations; defined responsibilities,Use this anchor when comments refer to clarity of role or expectations.
Morale,Stressors,,I am involved in deciding on changes introduced that affect my work area / team / department,consultation; involvement; decision-making inclusion,Use this anchor when comments refer to involvement in decisions.
Morale,Stressors,,I have unrealistic time pressures,deadlines; pace of work; pressure; overwhelmed,Use this anchor when comments refer to unrealistic time pressures.
Morale,Stressors,,I have a choice in deciding how to do my work,autonomy; flexibility; freedom in work,Use this anchor when comments refer to autonomy or flexibility.
Morale,Stressors,,Relationships at work are strained,strained relationships; conflict; tension; poor working relationships,Use this anchor when comments refer to strained relationships at work.
Morale,Stressors,,I receive the respect I deserve from my colleagues at work,respect; civility; recognition from colleagues,Use this anchor when comments refer to receiving respect from colleagues.
Morale,Stressors,,My immediate manager encourages me at work,encouragement; support; positive reinforcement,Use this anchor when comments refer to manager encouragement.
Other,Covid,,,covid impact; pandemic effects; covid-related workload; covid stress,Use this anchor when comments refer to Covid-related impacts.
Other,Infrastructure,,,infrastructure issues; building problems; facilities; environment,Use this anchor when comments refer to infrastructure issues.
Other,Senior management,Decision making,,senior decision-making; leadership decisions; strategic choices,Use this anchor when comments refer to senior decision making.
Other,Senior management,Engagement,,senior engagement; leadership visibility; communication from senior leaders,Use this anchor when comments refer to senior engagement.
Other,Senior management,Hierarchy,,hierarchy; organisational layers; bureaucracy,Use this anchor when comments refer to hierarchy or organisational layers.
Other,Senior management,Other,,senior management issues; leadership concerns; unspecified senior issues,Use this anchor when comments refer to senior management but do not specify the issue.
Other,NHS / government,,,national NHS issues; government policy; system pressures,Use this anchor when comments refer to national NHS or government issues.
Other,Other,,,miscellaneous; uncategorised; general comments,Use this anchor when comments do not fit any other category.
